session_start,killed_at,line_in_log,killed,clan,score,очки без xIDx,Всего очков,Всего сбито,
2021.10.12 12.36.09.316,12:48:02.256,6813,MeXico,xIDx,5,0,1663,Nekopara,4CB
2021.10.12 12.36.09.316,12:49:47.855,9593,MeXico,xIDx,5,0,,37,89
2021.10.12 12.36.09.316,13:18:56.886,5793,KarauL,xIDx,5,0,,,
2021.10.12 12.36.09.316,13:22:02.574,11053,KarauL,xIDx,5,0,,,
2021.10.12 12.36.09.316,13:43:42.597,5048,AlaStoR,xIDx,5,0,,,
2021.10.12 12.36.09.316,13:54:54.937,6271,AlaStoR,xIDx,5,0,,,
2021.10.12 12.36.09.316,13:59:40.205,17801,AlaStoR,xIDx,5,0,,,
2021.10.12 12.36.09.316,14:17:09.008,4996,MeXico,xIDx,5,0,,,
2021.10.12 12.36.09.316,14:19:14.681,9624,UtorknessKanel,4CB,10,10,,,
2021.10.12 12.36.09.316,14:58:44.165,6664,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:03:07.850,3295,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:03:53.750,4977,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:04:58.802,7388,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:09:07.072,16094,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:12:17.106,1318,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:15:44.307,9491,3axBaT4uk,xIDx,8,0,,,
2021.10.12 12.36.09.316,15:20:38.025,621,3axBaT4uk,xIDx,8,0,,,
2021.10.12 15.27.56.434,15:30:49.873,3011,3axBaT4uk,xIDx,8,0,,,
2021.10.12 15.27.56.434,15:31:52.434,5294,3axBaT4uk,xIDx,8,0,,,
2021.10.12 15.27.56.434,15:35:43.501,14490,3axBaT4uk,xIDx,8,0,,,
2021.10.12 15.27.56.434,15:36:58.201,18440,3axBaT4uk,xIDx,8,0,,,
2021.10.12 15.27.56.434,16:37:35.615,38165,Allegiance,4CB,10,10,,,
2021.10.12 15.27.56.434,16:45:35.219,7440,Allegiance,4CB,10,10,,,
2021.10.12 15.27.56.434,16:48:02.786,22906,Allegiance,4CB,10,10,,,
2021.10.12 15.27.56.434,16:51:41.605,47358,Allegiance,4CB,10,10,,,
2021.10.12 15.27.56.434,16:53:30.090,57613,Allegiance,4CB,10,10,,,
2021.10.12 15.27.56.434,17:13:18.017,2061,YatagaN4k,4CB,10,10,,,
2021.10.12 15.27.56.434,17:14:18.982,5677,ThanosKilerSquad,4CB,10,10,,,
2021.10.12 17.42.08.408,19:33:37.834,11036,IOIEnTiTiIOI,AoWAR,12,12,,,
2021.10.12 17.42.08.408,19:37:31.569,18709,IOIEnTiTiIOI,AoWAR,12,12,,,
2021.10.12 20.01.47.18,20:05:10.101,5288,Sarelan,DNO,12,12,,,
2021.10.12 20.01.47.18,20:46:25.505,20122,LaHaine,4CB,10,10,,,
2021.10.12 20.01.47.18,20:51:09.090,2598,GobModeOn,4CB,10,10,,,
2021.10.12 20.01.47.18,20:52:31.440,4512,GobModeOn,4CB,10,10,,,
2021.10.12 20.01.47.18,20:53:02.944,5134,LaHaine,4CB,10,10,,,
2021.10.12 20.01.47.18,20:53:14.659,5440,GobModeOn,4CB,10,10,,,
2021.10.12 20.01.47.18,20:57:44.161,10131,LaHaine,4CB,10,10,,,
2021.10.12 20.01.47.18,21:15:25.285,3313,IOIEnTiTiIOI,AoWAR,12,12,,,
2021.10.12 20.01.47.18,21:16:22.552,8052,IOIEnTiTiIOI,AoWAR,12,12,,,
2021.10.13 20.17.39.998,20:42:25.171,4142,HoWHoW,LuX,12,12,,,
2021.10.13 20.17.39.998,21:08:54.870,33113,NikSvir,Nekopara,10,10,,,
2021.10.13 20.17.39.998,21:09:33.137,38247,WhitePOWER,Nekopara,10,10,,,
2021.10.13 20.17.39.998,21:11:39.922,52662,NikSvir,Nekopara,10,10,,,
2021.10.13 20.17.39.998,21:11:47.523,53717,HeadAche,Nekopara,12,12,,,
2021.10.13 20.17.39.998,21:42:39.437,58633,NikSvir,Nekopara,10,10,,,
2021.10.13 20.17.39.998,21:42:53.853,60254,Inspiration,Nekopara,12,12,,,
2021.10.13 20.17.39.998,21:49:12.957,467,Cha01s,Nekopara,12,12,,,
2021.10.13 20.17.39.998,21:54:28.976,32731,Cha01s,Nekopara,12,12,,,
2021.10.14 11.11.57.515,13:35:40.331,7953,ZloiDemon,xIDx,5,0,,,
2021.10.14 11.11.57.515,16:08:20.903,3188,Allegiance,4CB,10,10,,,
2021.10.14 11.11.57.515,16:08:41.004,4753,rMario,4CB,10,10,,,
2021.10.14 11.11.57.515,16:10:44.922,16196,fantazm,4CB,10,10,,,
2021.10.14 11.11.57.515,16:37:45.702,4419,Spreee,4CB,10,10,,,
2021.10.14 11.11.57.515,16:42:33.320,43040,rMario,4CB,10,10,,,
2021.10.14 11.11.57.515,16:43:28.571,50326,Allegiance,4CB,10,10,,,
2021.10.14 11.11.57.515,16:47:05.974,1802,Allegiance,4CB,10,10,,,
2021.10.14 11.11.57.515,16:50:05.008,17403,Spreee,4CB,10,10,,,
2021.10.14 11.11.57.515,16:50:55.290,19692,raptor3f,4CB,10,10,,,
2021.10.14 11.11.57.515,16:51:56.658,21932,Spreee,4CB,10,10,,,
2021.10.14 11.11.57.515,16:52:13.259,22826,fantazm,4CB,10,10,,,
2021.10.14 18.34.28.329,20:36:13.337,12028,vavanu4,4CB,10,10,,,
2021.10.14 18.34.28.329,21:40:32.470,32368,smersch76UA,4CB,10,10,,,
2021.10.15 12.45.20.733,16:57:17.991,53987,Spreee,4CB,10,10,,,
2021.10.15 12.45.20.733,16:57:52.275,58146,rMario,4CB,10,10,,,
2021.10.16 01.04.09.036,01:31:47.632,4518,AdMiRaLHAN,4CB,10,10,,,
2021.10.16 19.46.39.168,21:10:33.758,39379,Spreee,4CB,10,10,,,
2021.10.16 19.46.39.168,21:27:19.916,68306,Spreee,4CB,10,10,,,
2021.10.16 19.46.39.168,21:30:12.452,93095,Hehemon,4CB,10,10,,,
2021.10.16 19.46.39.168,21:37:59.454,16944,Benedict0707,Nekopara,10,10,,,
2021.10.16 19.46.39.168,21:42:14.755,43919,Benedict0707,Nekopara,10,10,,,
2021.10.16 19.46.39.168,22:08:32.541,3796,Gladiator,LuX,12,12,,,
2021.10.16 19.46.39.168,22:19:32.926,4051,Fereche,LuX,12,12,,,
2021.10.16 19.46.39.168,22:37:31.133,8625,EjiDZE,SWARM,12,12,,,
2021.10.17 12.22.04.836,12:54:29.171,4995,MeXico,xIDx,5,0,,,
2021.10.17 12.22.04.836,12:56:44.524,9740,MeXico,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:20:12.518,4314,Kiber1998,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:31:18.269,7584,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:35:09.910,1268,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:36:40.421,3383,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:38:13.523,5849,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:39:19.691,7637,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:40:03.160,8533,JERICHOx3D,xIDx,5,0,,,
2021.10.17 12.22.04.836,13:42:41.490,12515,Dimon856,xIDx,5,0,,,
2021.10.17 12.22.04.836,14:36:40.605,3013,KpAcABa,ETHER,5,5,,,
2021.10.17 12.22.04.836,14:40:36.690,10028,KpAcABa,ETHER,5,5,,,
2021.10.17 12.22.04.836,14:47:08.363,2056,KpAcABa,ETHER,5,5,,,
2021.10.17 12.22.04.836,14:49:31.815,5368,KpAcABa,ETHER,5,5,,,
2021.10.17 18.28.44.3,18:37:21.574,12642,KpAcABa,ETHER,5,5,,,
2021.10.17 19.09.50.527,19:39:34.772,13867,PromptoArgentum,P2W,12,12,,,
2021.10.17 19.09.50.527,19:55:57.600,28409,Allegiance,4CB,10,10,,,
2021.10.17 19.09.50.527,19:56:42.097,29602,Sumelru,4CB,10,10,,,
2021.10.17 19.09.50.527,20:40:44.469,1836,vavanu4,4CB,10,10,,,
2021.10.17 19.09.50.527,20:41:05.220,2055,LexaDigger,4CB,10,10,,,
2021.10.17 19.09.50.527,21:35:24.729,3308,StarchasmNyx,Nekopara,10,10,,,
2021.10.17 19.09.50.527,21:40:16.348,34278,NikSvir,Nekopara,10,10,,,
2021.10.17 19.09.50.527,21:44:41.100,62022,StarchasmNyx,Nekopara,10,10,,,
2021.10.17 19.09.50.527,21:44:47.400,62654,SenyA,Nekopara,10,10,,,
2021.10.18 00.16.56.613,01:51:47.267,9611,Grenaderr,xIDx,5,0,,,
2021.10.18 00.16.56.613,01:54:08.686,14425,Grenaderr,xIDx,5,0,,,
2021.10.18 00.16.56.613,02:02:02.072,7028,Grenaderr,xIDx,5,0,,,
2021.10.18 00.16.56.613,02:05:56.112,13084,Grenaderr,xIDx,5,0,,,
2021.10.18 19.05.46.07,20:23:01.604,3261,Spreee,4CB,10,10,,,
2021.10.18 19.05.46.07,20:56:13.335,22254,GobModeOn,4CB,10,10,,,
2021.10.18 19.05.46.07,20:57:13.237,23981,vavanu4,4CB,10,10,,,
2021.10.18 19.05.46.07,20:57:17.337,24136,Inspiration,Nekopara,12,12,,,
2021.10.18 19.05.46.07,21:23:10.450,24658,Sumelru,4CB,10,10,,,
2021.10.18 19.05.46.07,21:23:37.217,28718,MaxVerzila,4CB,10,10,,,
2021.10.18 19.05.46.07,21:29:34.052,79033,Sumelru,4CB,10,10,,,
2021.10.18 19.05.46.07,21:42:16.541,61286,MaxVerzila,4CB,10,10,,,
2021.10.18 19.05.46.07,21:44:45.042,83650,aPeaceOfCake,4CB,10,10,,,
2021.10.18 19.05.46.07,21:50:26.901,19256,aPeaceOfCake,4CB,10,10,,,
2021.10.18 19.05.46.07,21:53:39.181,38896,Sumelru,4CB,10,10,,,
2021.10.18 19.05.46.07,21:54:04.014,41012,aPeaceOfCake,4CB,10,10,,,
2021.10.19 20.12.22.373,20:50:43.136,6753,vavanu4,4CB,10,10,,,
2021.10.19 20.12.22.373,20:54:30.053,10613,ThanosKilerSquad,4CB,10,10,,,
2021.10.19 20.12.22.373,21:39:55.677,19861,StarchasmNyx,Nekopara,10,10,,,
2021.10.19 20.12.22.373,21:40:22.293,23380,SenyA,Nekopara,10,10,,,
2021.10.19 20.12.22.373,21:42:29.979,38782,NikSvir,Nekopara,10,10,,,
2021.10.19 20.12.22.373,21:44:00.880,49522,Inspiration,Nekopara,12,12,,,
2021.10.19 20.12.22.373,21:46:31.864,68475,NikSvir,Nekopara,10,10,,,
2021.10.19 20.12.22.373,21:53:19.834,10235,NikSvir,Nekopara,10,10,,,
2021.10.19 20.12.22.373,21:59:36.769,55898,Inspiration,Nekopara,12,12,,,
2021.10.20 12.45.58.776,13:25:55.172,13035,Allegiance,4CB,10,10,,,
2021.10.20 12.45.58.776,13:31:44.907,9435,Allegiance,4CB,10,10,,,
2021.10.20 12.45.58.776,13:33:51.280,13216,Allegiance,4CB,10,10,,,
2021.10.20 12.45.58.776,13:49:05.466,4323,Allegiance,4CB,10,10,,,
2021.10.20 12.45.58.776,13:52:44.667,9582,Allegiance,4CB,10,10,,,
2021.10.20 12.45.58.776,13:53:50.815,11405,Allegiance,4CB,10,10,,,
2021.10.20 15.51.24.783,16:24:45.860,8552,Allegiance,4CB,10,10,,,
2021.10.20 15.51.24.783,16:26:36.426,24977,Spreee,4CB,10,10,,,
2021.10.20 15.51.24.783,16:27:40.844,32027,xXGaylaxyXx,Nekopara,12,12,,,
2021.10.20 15.51.24.783,16:43:31.501,14915,lOpa,POWER,8,8,,,
2021.10.20 19.08.52.51,19:17:56.543,7554,redovner,LuX,5,5,,,
